"","ags","wahlberechtigte","waehler","ungueltig","gueltig","parteien_ges","partei_cdu","partei_spd","partei_gruene","partei_fdp","partei_linke","partei_rep","partei_odp","partei_dkp","partei_afd","partei_big","partei_partei","partei_einheit","partei_graue","partei_npd","partei_piraten","partei_cdu.fdp","partei_spd.gruene","wv_cdu","wv_spd","wv_fdp","wv_gruene","wv_linke","wv_odp","wv_partei","wv_agp","wv_spd.gruene","wv_allg","wv_ju","wv_grli","wv_lili","wv_frli","wv_einzel","Gemeindename","lon","lat"
"78","08117010","4409","2510","79","38563","38563","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","14902","None","None","None","None","None","None","None","None","23661","None","None","None","None","None","Böhmenkirch",9.931883,48.684616
"79","08117011","1399","857","22","8026","8026","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8026","None","None","None","None","None","Börtlingen",9.631645,48.75464
"80","08117012","4108","2246","34","29092","29092","8611","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9119","None","11362","None","None","None","Bad Boll",9.616604,48.639235
"81","08117014","4242","2292","53","30091","30091","19107","3680","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","7304","None","None","None","None","None","Deggingen",9.722279,48.59776
"82","08117015","8515","4280","143","75573","75573","38280","10913","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","26380","None","None","None","None","None","Donzdorf, Stadt",9.811046,48.686613
"83","08117016","343","233","4","1714","1714","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","1714","None","None","None","None","None","Drackenstein",9.679776,48.556609
"84","08117017","1712","1009","35","9385","9385","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9385","None","None","None","None","None","Dürnau",9.641001,48.642386
"85","08117018","11721","5792","265","111120","111120","29098","32472","10862","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","38688","None","None","None","None","None","Ebersbach an der Fils, Stadt",9.523452,48.714242
"86","08117019","15313","5825","180","110439","110439","35855","24372","16534","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","33678","None","None","None","None","None","Eislingen/Fils, Stadt",9.707697,48.700842
"87","08117020","1795","996","36","9204","9204","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","9204","None","None","None","None","None","Eschenbach",9.671831,48.657638
"88","08117023","1190","699","31","6477","6477","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","6477","None","None","None","None","None","Gammelshausen",9.650617,48.64031
